Term,Section,Title,Location,Meeting Info,Faculty,Available/Capacity,Status,Credits,Academic Level,Restrictions,Blocked Time Slots,Days,Time Slot
2024SP,ACCT-211-001,Financial Accounting,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Brophy Center, Room 211","Frawley, Chad Michael",24 / 24,Open,3,Undergraduate,,,,
2024SP,ACCT-212-001,Mngerial Accounting,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 08:00AM - 09:20AM, Brophy Center, Room 106","Frawley, Chad Michael",24 / 24,Open,3,Undergraduate,,,,
2024SP,ACCT-311-001,Intermediate Accnting I,Bachelor Completion,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Frawley, Chad Michael",26 / 26,Open,3,Undergraduate,,,,
2024SP,ACCT-416-001,Federal Taxation II,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Frawley, Chad Michael",26 / 26,Open,3,Undergraduate,,,,
2024SP,ACCT-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG (more)...","Gostonczik, Alyssa Rae; Hanson, Taylor Michael",90 / 90,Open,1.00 - 12.0,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,ARTS-103-001,Stdio Based Intro to Art,Main Campus,"01/15/2024-04/29/2024 Studio Monday 03:35PM - 06:25PM, Fine Arts Center, Room 317","Lisota, Sherri Jean",16 / 16,Open,3,Undergraduate,,,,
2024SP,ARTS-103-002,Stdio Based Intro to Art,Main Campus,"01/15/2024-05/03/2024 Studio Wednesday 03:35PM - 06:25PM, Fine Arts Center, Room 317","Lisota, Sherri Jean",16 / 16,Open,3,Undergraduate,,,,
2024SP,ARTS-111-001,Foundtns Drawing Dsgn I,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 12:20PM - 03:10PM, Fine Arts Center, Room 317","Lisota, Sherri Jean",18 / 18,Open,3,Undergraduate,,,,
2024SP,ARTS-116-001,Intro Art: Craftmaking,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 03:35PM - 06:25PM, Fine Arts Center, Room 322","Peters, Kira Lynn",10-Oct,Open,3,Undergraduate,,,,
2024SP,ARTS-121-001,Foundatn Drawing Dsn II,Main Campus,"01/15/2024-05/01/2024 Studio Monday, Wednesday 12:20PM - 03:10PM, Fine Arts Center, Room 317","Lisota, Sherri Jean",18 / 18,Open,3,Undergraduate,,,,
2024SP,ARTS-203-001,Ceramics,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday, Friday 08:00AM - 10:00AM, Fine Arts Center, Room 301","Stokes, Daniel Gene",10-Oct,Open,3,Undergraduate,,,,
2024SP,ARTS-216-001,Painting,Main Campus,"01/16/2024-05/02/2024 Studio Tuesday, Thursday 12:30PM - 03:20PM, Fine Arts Center, Room 315","Lisota, Sherri Jean",10-Oct,Open,3,Undergraduate,,,,
2024SP,ARTS-305-001,Advanced Ceramics,Main Campus,"01/15/2024-05/03/2024 Studio Monday, Wednesday, Friday 08:00AM - 10:00AM, Fine Arts Center, Room 301","Stokes, Daniel Gene",10-Oct,Open,3,Undergraduate,,,,
2024SP,ARTS-316-001,Advanced Painting,Main Campus,"01/16/2024-05/02/2024 Studio Tuesday, Thursday 12:30PM - 03:20PM, Fine Arts Center, Room 315","Lisota, Sherri Jean",10-Oct,Open,3,Undergraduate,,,,
2024SP,ARTS-361-001,Methds Art Education,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 04:30PM - 07:20PM, Fine Arts Center, Room 301","Peters, Kira Lynn",10-Oct,Open,3,Undergraduate,This course is for art education majors only.,,,
2024SP,BIOL-104-001,Anatomy and Physiology I,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Murphy Center, Room 346","Lemke, Minda Marie",48 / 48,Open,4,Undergraduate,This course is for nursing and dietetics majors only.,,,
2024SP,BIOL-104L-001,BIOL-104 A & P I Lab,Main Campus,"01/18/2024-05/02/2024 Laboratory Thursday 10:00AM - 11:50AM, Reinhart Center, Room 002","Lemke, Minda Marie",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-114-001,Anatomy and Physiolgy II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Murphy Center, Room 414","Mayne, Christopher Gary",48 / 48,Open,4,Undergraduate,This course is for nursing and dietetics majors only.,,,
2024SP,BIOL-114-002,Anatomy and Physiolgy II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Murphy Center, Room 414","Lawrence, Robert Charles",48 / 48,Open,4,Undergraduate,This course is for nursing and dietetics majors only.,,,
2024SP,BIOL-114L-001,BIOL-114 A & P II Lab,Main Campus,"01/16/2024-04/30/2024 Laboratory Tuesday 01:00PM - 02:50PM, Reinhart Center, Room 003","Lemke, Minda Marie",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-114L-002,BIOL-114 A & P II Lab,Main Campus,"01/15/2024-05/03/2024 Laboratory Wednesday 02:30PM - 04:20PM, Reinhart Center, Room 003","TBA,  ",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-114L-003,BIOL-114 A & P II Lab,Main Campus,"01/15/2024-05/03/2024 Laboratory Wednesday 12:30PM - 02:20PM, Reinhart Center, Room 003","TBA,  ",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-114L-004,BIOL-114 A & P II Lab,Main Campus,"01/18/2024-05/02/2024 Laboratory Thursday 08:00AM - 09:50AM, Reinhart Center, Room 003","TBA,  ",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-114L-005,BIOL-114 A & P II Lab,Main Campus,"01/15/2024-05/03/2024 Laboratory Tuesday 08:00AM - 09:50AM, Reinhart Center, Room 003","TBA,  ",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-114L-006,BIOL-114 A & P II Lab,Main Campus,"01/15/2024-05/03/2024 Laboratory Tuesday 10:00AM - 11:50AM, Reinhart Center, Room 003","Lemke, Minda Marie",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-160-001,General Biology I,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Reinhart Center, Room 201 (more)...","Bussiere, Luke Daniel",24 / 24,Open,4,Undergraduate,,,,
2024SP,BIOL-203-001,Human Biology,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Reinhart Center, Room 201 (more)...","Driscoll, Susanna Marinda",24 / 24,Open,4,Undergraduate,,,,
2024SP,BIOL-251-001,Ecology and Evolution,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Reinhart Center, Room 201 (more)...","Wilson, Ted Alan; Lee, Sheldon Howard",16 / 16,Open,4,Undergraduate,"This course is for sophomores, juniors and seniors.",,,
2024SP,BIOL-251-002,Ecology and Evolution,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 12:20PM - 01:15PM, Reinhart Center, Room 201 (more)...","Wilson, Ted Alan; Lee, Sheldon Howard",16 / 16,Open,4,Undergraduate,"This course is for sophomores, juniors and seniors.",,,
2024SP,BIOL-296-001,Microbilgy for Hlth Prof,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Nursing Center, Room 195","Bussiere, Luke Daniel",72 / 72,Open,4,Undergraduate,,,,
2024SP,BIOL-296L-001,BIOL-296 Micro Lab,Main Campus,"01/16/2024-04/30/2024 Laboratory Tuesday 08:30AM - 10:20AM, Reinhart Center, Room 318","Bussiere, Luke Daniel",22 / 22,Open,0,Undergraduate,,,,
2024SP,BIOL-305-001,Survey of Biochemistry,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Fine Arts Center, Room 204","Gabriel, Scott Edward",28 / 28,Open,3,Undergraduate,,,,
2024SP,BIOL-338-001,Biomechanics,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:55AM, Reinhart Center, Room 201 (more)...","Ziolkowski, Sarah Lynn",16 / 16,Open,3,Undergraduate,,,,
2024SP,BIOL-340-001,Animal Behavior,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Murphy Center, Room 378 (more)...","Lawrence, Robert Charles",16 / 16,Open,4,Undergraduate,,,,
2024SP,BIOL-347-001,Human Physiology,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Reinhart Center, Room 229 (more)...","Mayne, Christopher Gary",16 / 16,Open,4,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,BIOL-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Hines, Sarah Marie",90 / 90,Open,1.00 - 12.0,Undergraduate,This course is for students with junior standing or higher.,,,
2024SP,BLAW-343-001,Legal Ethical Envron Bus,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 12:30PM - 01:50PM, Brophy Center, Room 211","Knothe, Thomas Eugene",30 / 30,Open,3,Undergraduate,,,,
2024SP,BLAW-344-001,Business Law,Main Campus,"01/16/2024-05/02/2024 Lecture Tuesday, Thursday 02:00PM - 03:20PM, Brophy Center, Room 211","Knothe, Thomas Eugene",30 / 30,Open,3,Undergraduate,,,,
2024SP,BLAW-530-001,Ethcl Lgl Decsn Making,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced (more)...","Knothe, Thomas Eugene",25 / 25,Open,3,Graduate,,,,
2024SP,BUSL-302-001,Business Communicatn,Main Campus,"01/15/2024-05/10/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Brooks, Rochelle Ann",22 / 22,Open,3,Undergraduate,,,,
2024SP,BUSL-306-001,Managing and Leading,Bachelor Completion,"01/15/2024-03/05/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Bubbers, Terresa Ann",26 / 26,Open,3,Undergraduate,,,,
2024SP,BUSL-309-001,Managerial Marketing,Bachelor Completion,"01/15/2024-03/05/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Neumann, John William",26 / 26,Open,3,Undergraduate,,,,
2024SP,BUSL-402-001,Ethical Leadership,Bachelor Completion,"03/18/2024-05/07/2024 On-Line Days to be Announced, Times to be Announced, Room to be Announced","Brooks, Rochelle Ann",26 / 26,Open,3,Undergraduate,,,,
2024SP,BUSL-487-001,Internship,Main Campus,"01/15/2024-05/10/2024 Internship Days to be Announced, Times to be Announced Arranged, Room ARRG","Gostonczik, Alyssa Rae",90 / 90,Open,1.00 - 12.0,Undergraduate,,,,
2024SP,CHEM-106-001,Chmstry for Hlth Scnces,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Reinhart Center, Room 134 (more)...","Stepanova, Valeria Andreyevna",22 / 22,Open,4,Undergraduate,,,,
2024SP,CHEM-106-002,Chmstry for Hlth Scnces,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 09:05AM - 10:00AM, Reinhart Center, Room 134 (more)...","Stepanova, Valeria Andreyevna",22 / 22,Open,4,Undergraduate,,,,
2024SP,CHEM-106-003,Chmstry for Hlth Scnces,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Reinhart Center, Room 134 (more)...","Gabriel, Scott Edward",22 / 22,Open,4,Undergraduate,,,,
2024SP,CHEM-106-004,Chmstry for Hlth Scnces,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 01:25PM - 02:20PM, Reinhart Center, Room 134 (more)...","Gabriel, Scott Edward",22 / 22,Open,4,Undergraduate,,,,
2024SP,CHEM-121-001,General Chemistry II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Murphy Center, Room 414 (more)...","Backstrand, Kyle Martin",22 / 22,Open,4,Undergraduate,,,,
2024SP,CHEM-121-002,General Chemistry II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 11:15AM - 12:10PM, Murphy Center, Room 414 (more)...","Backstrand, Kyle Martin",22 / 22,Open,4,Undergraduate,,,,
2024SP,CHEM-305-001,Survey of Biochemistry,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Fine Arts Center, Room 204","Gabriel, Scott Edward",20 / 20,Open,3,Undergraduate,,,,
2024SP,CHEM-340-001,Organic Chemistry II,Main Campus,"01/15/2024-05/03/2024 Lecture Monday, Wednesday, Friday 10:10AM - 11:05AM, Reinhart Center, Room 324 (more)...","Stepanova, Valeria Andreyevna",16 / 16,Open,4,Undergraduate,,,,
2024SP,CHEM-372-001,Chemistry of Environment,Main Campus,"01/15/2024-05/03/2024 Lecture Tuesday, Thursday 12:30PM - 01:50PM, Reinhart Center, Room 229","Backstrand, Kyle Martin",24 / 24,Open,3,Undergraduate,,,,
2024SP,CHEM-498-001,Dircted Rsrch Experience,Main Campus,"01/15/2024-05/10/2024 Research Days to be Announced, Times to be Announced Arranged, Room ARRG","Backstrand, Kyle Martin",4-Apr,Open,1.00 - 4.00,Undergraduate,,,,
2024SP,CHEM-498-002,Dircted Rsrch Experience,Main Campus,"01/15/2024-05/10/2024 Research Days to be Announced, Times to be Announced Arranged, Room ARRG","Stepanova, Valeria Andreyevna",4-Apr,Open,1.00 - 4.00,Undergraduate,,,,
2024SP,CHEM-498-003,Dircted Rsrch Experience,Main Campus,"01/15/2024-05/10/2024 Research Days to be Announced, Times to be Announced Arranged, Room ARRG","Gabriel, Scott Edward",4-Apr,Open,1.00 - 4.00,Undergraduate,,,,
2024SP,CNSV-350-001,Voice Half Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",10-Oct,Open,1,Undergraduate,,,,
2024SP,CNSV-350-002,Voice Half Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",10-Oct,Open,1,Undergraduate,,,,
2024SP,CNSV-355-001,Piano Half Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Mihm, Meredith May",10-Oct,Open,1,Undergraduate,,,,
2024SP,CNSV-355-002,Piano Half Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Haupert, Mary Ellen",10-Oct,Open,1,Undergraduate,,,,
2024SP,CNSV-440-001,Full Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward; Stafslien, Judy A",5-May,Open,2,Undergraduate,,,,
2024SP,CNSV-450-001,Voice Full Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Johnson, Daniel Edward",10-Oct,Open,2,Undergraduate,,,,
2024SP,CNSV-450-002,Voice Full Recital,Main Campus,"01/15/2024-05/10/2024 Studio Days to be Announced, Times to be Announced Arranged, Room ARRG","Schoenecker, Ann Elise",10-Oct,Open,2,Undergraduate,,,,
2024SP,COMD-112-001,Clin Spch Pthlgy Adlgy,Main Campus,"01/19/2024-05/03/2024 Lecture Friday 10:10AM - 11:05AM, Nursing Center, Room 207","Culpitt, Aeriana Dawn",20 / 20,Open,1,Undergraduate,,,,
2024SP,COUN-540-001,Theories of Counseling,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 03:00PM - 06:00PM, Murphy Center, Room 474","Houin, Brittany Massengale",20 / 20,Open,3,Graduate,,,,
2024SP,COUN-565-001,Behavior Disorders,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 03:00PM - 06:00PM, Murphy Center, Room 418","Bakalars, William Ramon",20 / 20,Open,3,Graduate,,,,
2024SP,COUN-591-001,Substnce Abuse Coun,Main Campus,"03/01/2024-03/01/2024 Lecture Friday 05:00PM - 10:00PM, Murphy Center, Room 346 (more)...","Bakalars, William Ramon",20 / 20,Open,3,Graduate,,,,
2024SP,COUN-595-001,Testing and Assessment,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 06:30PM - 09:30PM, Murphy Center, Room 500","Latten, Jessie ",12-Dec,Open,3,Graduate,,,,
2024SP,COUN-650-001,Psychopharmacology,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 06:30PM - 09:30PM, Murphy Center, Room 471","Smith, Carol Marie",20 / 20,Open,3,Graduate,,,,
2024SP,COUN-660-001,Rsrch Eval Evidnce Prac,Main Campus,"01/17/2024-05/01/2024 Lecture Wednesday 06:30PM - 09:30PM, Murphy Center, Room 348","Houin, Brittany Massengale",12-Dec,Open,3,Graduate,,,,
2024SP,COUN-675-001,Counseling Techniques,Main Campus,"01/17/2024-05/01/2024 Lecture Wednesday 06:30PM - 09:30PM, Murphy Center, Room 474","Houin, Cameron Bailey",12-Dec,Open,3,Graduate,,,,
2024SP,COUN-690-001,Counseling Practicum,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 03:00PM - 06:00PM, Murphy Center, Room 570","Latten, Jessie ",6-Jun,Open,3,Graduate,,,,
2024SP,COUN-690-002,Counseling Practicum,Main Campus,"01/18/2024-05/02/2024 Lecture Thursday 03:00PM - 06:00PM, Murphy Center, Room 404","Smith, Carol Marie",6-Jun,Open,3,Graduate,,,,
2024SP,COUN-695-001,Counseling Internship,Main Campus,"01/17/2024-05/01/2024 Lecture Wednesday 06:30PM - 09:30PM, Murphy Center, Room 378","Latten, Jessie ",12-Dec,Open,1.00 - 3.00,Graduate,,,,
2024SP,COUN-696-001,Adv Counsel Internship,Main Campus,"01/17/2024-05/01/2024 Lecture Wednesday 06:30PM - 09:30PM, Murphy Center, Room 404","Smith, Carol Marie",12-Dec,Open,1.00 - 3.00,Graduate,,,,
